date,temperature_2m_mean,precipitation_sum
2019-03-15,20.9,0.0
2019-03-16,21.0,0.0
2019-03-17,20.9,0.0
2019-03-18,20.7,0.0
2019-03-19,20.7,2.8
2019-03-20,20.3,2.7
2019-03-21,20.2,0.3
2019-03-22,20.2,0.0
2019-03-23,20.1,0.0
2019-03-24,20.3,0.0
2019-03-25,20.7,1.0
2019-03-26,20.6,0.0
2019-03-27,19.9,0.0
2019-03-28,19.9,0.0
2019-03-29,20.8,0.5
2019-03-30,21.8,0.4
2019-03-31,22.2,0.0
2019-04-01,22.0,0.8
2019-04-02,21.5,0.0
2019-04-03,21.0,0.0
2019-04-04,20.6,0.0
2019-04-05,20.6,0.5
2019-04-06,20.8,3.2
2019-04-07,20.7,4.0
2019-04-08,21.7,0.1
2019-04-09,21.1,7.1
2019-04-10,20.8,6.1
2019-04-11,20.5,2.4
2019-04-12,21.6,2.6
2019-04-13,22.7,1.4
2019-04-14,21.5,3.5
2019-04-15,22.5,0.3
2019-04-16,21.4,0.0
2019-04-17,21.3,0.3
2019-04-18,21.0,3.3
2019-04-19,20.9,6.6
2019-04-20,21.2,0.0
2019-04-21,20.4,0.0
2019-04-22,20.2,0.0
2019-04-23,21.1,0.0
2019-04-24,20.8,1.0
2019-04-25,21.4,0.1
2019-04-26,22.1,0.9
2019-04-27,22.2,0.2
2019-04-28,22.5,1.4
2019-04-29,22.1,2.3
2019-04-30,22.0,0.8
2019-05-01,21.6,7.3
2019-05-02,21.6,3.4
2019-05-03,21.9,1.1
2019-05-04,22.0,2.1
2019-05-05,22.7,1.3
2019-05-06,22.0,14.3
2019-05-07,20.1,61.8
2019-05-08,19.7,83.9
2019-05-09,19.5,3.8
2019-05-10,20.3,9.9
2019-05-11,20.4,4.5
2019-05-12,20.3,16.7
2019-05-13,20.3,7.3
2019-05-14,20.1,5.5
2019-05-15,20.2,55.0
2019-05-16,20.3,16.5
2019-05-17,20.1,14.4
2019-05-18,19.3,13.2
2019-05-19,19.5,12.2
2019-05-20,19.1,17.7
2019-05-21,19.0,15.9
2019-05-22,18.1,24.8
2019-05-23,19.5,10.9
2019-05-24,18.9,11.9
2019-05-25,19.1,20.6
2019-05-26,18.9,38.8
2019-05-27,18.3,7.8
2019-05-28,19.0,22.6
2019-05-29,18.4,11.8
2019-05-30,19.6,7.5
2019-05-31,19.7,4.8
2019-06-01,19.8,6.3
2019-06-02,20.1,3.8
2019-06-03,20.6,1.4
2019-06-04,20.8,2.1
2019-06-05,21.1,6.3
2019-06-06,20.6,14.7
2019-06-07,20.0,53.3
2019-06-08,19.5,33.0
2019-06-09,19.9,13.2
2019-06-10,20.0,4.2
2019-06-11,20.1,1.8
2019-06-12,18.9,11.4
2019-06-13,19.7,20.7
2019-06-14,20.6,1.8
2019-06-15,20.7,13.3
2019-06-16,21.4,1.2
2019-06-17,21.5,0.0
2019-06-18,21.9,3.1
2019-06-19,21.8,0.7
2019-06-20,20.4,6.1
2019-06-21,21.3,1.5
2019-06-22,21.5,6.8
2019-06-23,21.3,1.3
2019-06-24,20.6,13.3
2019-06-25,20.7,5.1
2019-06-26,20.2,0.2
2019-06-27,20.5,0.9
2019-06-28,20.3,1.8
2019-06-29,20.2,3.5
2019-06-30,20.6,10.1
2019-07-01,20.8,3.3
2019-07-02,20.6,5.4
2019-07-03,20.2,26.2
2019-07-04,20.4,1.2
2019-07-05,19.7,0.0
2019-07-06,20.3,2.8
2019-07-07,20.8,2.5
2019-07-08,19.1,3.9
2019-07-09,19.6,6.9
2019-07-10,19.9,1.3
2019-07-11,20.1,7.8
2019-07-12,19.7,11.0
2019-07-13,20.1,6.5
2019-07-14,19.8,20.6
2019-07-15,19.6,10.6
2019-07-16,20.1,0.0
2019-07-17,20.9,0.9
2019-07-18,20.3,1.6
2019-07-19,21.0,0.9
2019-07-20,21.0,0.0
2019-07-21,20.9,0.0
2019-07-22,20.6,0.4
2019-07-23,19.5,4.8
2019-07-24,19.5,2.4
2019-07-25,19.6,13.8
2019-07-26,19.3,1.6
2019-07-27,20.1,0.2
2019-07-28,20.2,5.5
2019-07-29,20.1,0.0
2019-07-30,19.8,0.0
2019-07-31,20.5,4.5
2019-08-01,21.0,4.1
2019-08-02,20.8,1.2
2019-08-03,19.9,5.2
2019-08-04,20.8,1.0
2019-08-05,21.1,1.8
2019-08-06,20.6,5.4
2019-08-07,19.1,13.0
2019-08-08,19.7,10.9
2019-08-09,20.6,0.4
2019-08-10,20.9,0.0
2019-08-11,20.9,1.5
2019-08-12,21.0,0.8
2019-08-13,21.0,4.4
2019-08-14,19.9,6.0
2019-08-15,18.6,18.8
2019-08-16,18.8,12.0
2019-08-17,19.0,7.2
2019-08-18,19.4,19.1
2019-08-19,19.5,5.6
2019-08-20,19.8,22.8
2019-08-21,20.3,3.3
2019-08-22,20.1,0.0
2019-08-23,20.8,1.6
2019-08-24,20.6,2.4
2019-08-25,20.3,4.2
2019-08-26,20.6,0.7
